,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,company
1621,Ford Ecosport 1.5,Kochi,2017,75445,Diesel,Manual,First,22.7,1498,5,7.54,Ford
1622,Maruti Ciaz VXi,Kochi,2015,46601,Petrol,Manual,First,20.73,1373,5,6.84,Maruti
1623,Volkswagen Passat Diesel,Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968,5,6.0,Volkswagen
1624,Honda Jazz 1.5,Pune,2017,27000,Diesel,Manual,First,27.3,1498,5,8.0,Honda
1625,Audi A4 35,Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968,5,24.74,Audi
1626,Hyundai Grand i10,Kochi,2017,34429,Diesel,Manual,First,24.0,1120,5,5.5,Hyundai
1627,Mercedes-Benz GL-Class 2007,Delhi,2013,46000,Diesel,Automatic,First,12.0,2987,7,36.0,Mercedes-Benz
1628,Toyota Innova 2.5,Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494,7,11.79,Toyota
1629,Nissan Sunny 2011-2014,Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498,5,3.0,Nissan
1630,Skoda Laura Ambiente,Bangalore,2011,94821,Diesel,Automatic,Second,20.0,1968,5,6.75,Skoda
1631,Chevrolet Aveo 1.4,Jaipur,2006,100000,Petrol,Manual,First,14.49,1399,5,1.4,Chevrolet
1632,Honda Mobilio V,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498,7,5.75,Honda
1633,Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248,5,3.4,Maruti
1634,Volkswagen Polo Petrol,Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198,5,4.89,Volkswagen
1635,Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24,1598,5,4.95,Nissan
1636,Maruti A-Star AT,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998,5,3.49,Maruti
1637,Toyota Etios Liva,Pune,2011,32000,Diesel,Manual,First,23.59,1364,5,3.85,Toyota
1638,Honda City 1.5,Pune,2014,43772,Petrol,Manual,First,17.0,1497,5,6.35,Honda
1639,Hyundai Grand i10,Coimbatore,2017,23576,Petrol,Automatic,First,18.9,1197,5,7.08,Hyundai
1640,Jaguar XE 2.0L,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999,5,38.0,Jaguar
1641,Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179,8,6.25,Mahindra
1642,Mercedes-Benz New C-Class,Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796,5,10.15,Mercedes-Benz
1643,Skoda Superb Elegance,Delhi,2014,80000,Petrol,Automatic,First,13.7,1798,5,10.75,Skoda
1644,Chevrolet Cruze LTZ,Pune,2012,137008,Diesel,Automatic,First,18.1,1991,4,4.65,Chevrolet
1645,Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179,8,4.75,Mahindra
1646,Hyundai Verna 1.6,Coimbatore,2015,52191,Petrol,Manual,First,17.1,1591,5,7.78,Hyundai
1647,Hyundai i20 1.4,Hyderabad,2016,77076,Diesel,Manual,First,23.0,1396,5,6.75,Hyundai
1648,Honda City ZX,Hyderabad,2008,56000,Petrol,Automatic,First,16.4,1497,5,2.99,Honda
1649,Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36,1197,5,2.35,Hyundai
1650,Honda Amaze S,Delhi,2013,89429,Diesel,Manual,First,25.8,1498,5,3.65,Honda
1651,Maruti Wagon R,Delhi,2012,45631,Petrol,Manual,Second,22.5,998,5,2.74,Maruti
1652,Honda Brio S,Jaipur,2013,53959,Petrol,Manual,First,19.4,1198,5,3.5,Honda
1653,Hyundai i20 1.2,Kochi,2014,55804,Petrol,Manual,First,17.0,1197,5,4.76,Hyundai
1654,Volkswagen Vento 2013-2015,Kochi,2016,25899,Petrol,Manual,First,15.04,1598,5,6.2,Volkswagen
1655,Skoda Octavia Rider,Pune,2008,82000,Diesel,Manual,Second,18.7,1896,5,2.35,Skoda
1656,Mercedes-Benz E-Class 2015-2017,Mumbai,2014,52000,Diesel,Automatic,First,13.0,2143,5,24.5,Mercedes-Benz
1657,Renault Duster Petrol,Pune,2013,20000,Petrol,Manual,First,13.24,1598,5,6.0,Renault
1658,Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1,814,5,3.65,Hyundai
1659,Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6,1197,5,6.26,Maruti
1660,Nissan Micra Diesel,Jaipur,2011,80000,Diesel,Manual,Second,19.5,1461,5,2.1,Nissan
1661,Audi Q5 3.0,Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967,5,32.95,Audi
1662,Hyundai i20 1.2,Coimbatore,2018,22684,Petrol,Manual,First,18.6,1197,5,7.8,Hyundai
1663,Honda Brio S,Bangalore,2014,43521,Petrol,Manual,First,19.4,1198,5,4.25,Honda
1664,Maruti Swift Dzire,Kochi,2014,49386,Petrol,Manual,First,17.5,1298,5,4.86,Maruti
1665,Hyundai Grand i10,Delhi,2017,12248,Petrol,Manual,First,18.9,1197,5,4.9,Hyundai
1666,Mahindra Xylo E8,Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498,8,7.06,Mahindra
1667,Volkswagen Polo GTI,Delhi,2015,60007,Petrol,Automatic,First,17.21,1798,4,4.5,Volkswagen
1668,Maruti Alto K10,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998,5,3.22,Maruti
1669,Volkswagen Polo Diesel,Kolkata,2014,30000,Diesel,Manual,First,22.07,1199,5,3.25,Volkswagen
1670,Hyundai Grand i10,Delhi,2016,81605,Petrol,Manual,First,18.9,1197,5,4.53,Hyundai
1671,Mercedes-Benz New C-Class,Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143,5,34.78,Mercedes-Benz
1672,Hyundai Verna 1.6,Pune,2014,34200,Petrol,Automatic,First,15.74,1591,5,6.5,Hyundai
1673,Fiat Punto EVO,Chennai,2010,72204,Petrol,Manual,First,15.7,1172,5,2.25,Fiat
1674,Toyota Innova 2.5,Pune,2011,156347,Diesel,Manual,Second,12.99,2494,8,8.0,Toyota
1675,Mahindra TUV 300,Kochi,2017,47357,Diesel,Automatic,First,18.49,1493,7,8.37,Mahindra
1676,Volkswagen Polo 1.5,Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498,5,5.39,Volkswagen
1677,BMW 5 Series,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995,5,37.3,BMW
1678,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987,5,70.8,Mercedes-Benz
1679,Mercedes-Benz M-Class ML,Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987,5,22.25,Mercedes-Benz
1680,Hyundai Grand i10,Kochi,2018,10393,Petrol,Manual,First,18.9,1197,5,6.03,Hyundai
1681,Skoda Superb Elegance,Mumbai,2011,46000,Petrol,Automatic,First,13.7,1798,5,4.9,Skoda
1682,Hyundai i10 Sportz,Chennai,2013,21000,Petrol,Automatic,First,16.95,1197,5,3.96,Hyundai
1683,Hyundai i20 1.4,Hyderabad,2011,113562,Diesel,Manual,First,23.0,1396,5,4.6,Hyundai
1684,Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179,8,5.5,Mahindra
1685,Honda Brio V,Mumbai,2013,63107,Petrol,Manual,First,19.4,1198,5,3.25,Honda
1686,Hyundai i20 1.2,Jaipur,2017,58500,Petrol,Manual,First,18.6,1197,5,6.25,Hyundai
1687,Hyundai Verna CRDi,Chennai,2011,108242,Diesel,Manual,First,16.8,1493,5,4.25,Hyundai
1688,Toyota Fortuner 3.0,Pune,2011,146300,Diesel,Manual,First,11.5,2982,7,12.25,Toyota
1689,BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05,1995,5,10.95,BMW
1690,Toyota Fortuner 4x2,Delhi,2013,65000,Diesel,Automatic,First,12.55,2982,7,16.5,Toyota
1691,Honda Amaze V,Pune,2018,1700,Petrol,Automatic,First,19.0,1199,5,7.8,Honda
1692,Hyundai i10 Era,Kochi,2013,34697,Petrol,Manual,First,19.81,1086,5,3.7,Hyundai
1693,Hyundai i20 1.2,Hyderabad,2012,58000,Petrol,Manual,First,17.0,1197,5,4.0,Hyundai
1694,BMW 3 Series,Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995,5,26.75,BMW
1695,Audi Q3 35,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968,5,28.03,Audi
1696,Maruti Swift VXI,Kochi,2017,37124,Petrol,Manual,First,20.4,1197,5,5.44,Maruti
1697,Maruti Baleno Delta,Delhi,2017,44000,Petrol,Automatic,First,21.4,1197,5,6.2,Maruti
1698,Hyundai Accent GLE,Kolkata,2005,45200,Petrol,Manual,First,13.2,1495,5,0.9,Hyundai
1699,Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5,1197,5,3.95,Maruti
1700,Tata Nano Lx,Pune,2011,65000,Petrol,Manual,Second,26.0,624,4,0.44,Tata
1701,Ford Figo Diesel,Ahmedabad,2012,55005,Diesel,Manual,First,20.0,1399,5,2.75,Ford
1702,Volkswagen Passat Diesel,Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968,5,7.5,Volkswagen
1703,Fiat Linea Emotion,Chennai,2010,160000,Diesel,Manual,Second,19.0,1248,5,2.5,Fiat
1704,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,7,5.0,Mahindra
1705,Maruti Wagon R,Hyderabad,2013,67263,Petrol,Manual,First,18.9,998,5,3.6,Maruti
1706,Toyota Etios G,Kochi,2012,44223,Petrol,Manual,First,17.6,1496,5,3.99,Toyota
1707,Hyundai Grand i10,Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197,5,5.64,Hyundai
1708,Toyota Innova 2.5,Pune,2014,160000,Diesel,Manual,First,12.99,2494,8,12.0,Toyota
1709,Tata Indica V2,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405,5,0.7,Tata
1710,BMW 3 Series,Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995,5,19.0,BMW
1711,Ford Endeavour 3.2,Delhi,2017,38000,Diesel,Automatic,First,10.91,3198,7,30.48,Ford
1712,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462,5,8.2,Maruti
1713,Ford Figo 1.5D,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498,5,7.55,Ford
1714,Chevrolet Aveo U-VA,Pune,2007,59000,Petrol,Manual,Third,15.26,1150,5,0.99,Chevrolet
1715,Honda City 1.5,Delhi,2011,78256,Petrol,Automatic,First,16.8,1497,5,4.15,Honda
1716,Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,First,16.95,1498,5,6.2,Nissan
1717,Maruti Swift Dzire,Kolkata,2016,18000,Petrol,Manual,First,19.1,1197,5,4.4,Maruti
1718,Ford Figo Diesel,Kolkata,2012,60000,Diesel,Manual,First,20.0,1399,5,2.1,Ford
1719,Fiat Grande Punto,Jaipur,2011,130000,Diesel,Manual,First,20.3,1248,5,2.2,Fiat
1720,Hyundai Elite i20,Coimbatore,2018,32851,Petrol,Manual,First,18.6,1197,5,8.34,Hyundai
1721,Maruti Swift Dzire,Kolkata,2014,32000,Diesel,Manual,First,23.4,1248,5,4.35,Maruti
1722,Ford Ecosport 1.5,Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498,5,6.8,Ford
1723,Maruti Swift Dzire,Jaipur,2010,71000,Diesel,Manual,First,19.3,1248,5,3.3,Maruti
1724,Hyundai Grand i10,Kochi,2016,19947,Petrol,Manual,First,18.9,1197,5,5.04,Hyundai
1725,Ford Endeavour 3.0L,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953,7,9.2,Ford
1726,Volkswagen Polo Diesel,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199,5,5.7,Volkswagen
1727,Mahindra TUV 300,Kochi,2018,55594,Diesel,Manual,First,18.49,1493,7,8.48,Mahindra
1728,BMW X6 xDrive,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993,4,48.0,BMW
1729,Renault Duster 110PS,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461,5,6.1,Renault
1730,Maruti Wagon R,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998,5,2.75,Maruti
1731,Maruti Ertiga SHVS,Pune,2017,121000,Diesel,Manual,First,24.52,1248,7,8.0,Maruti
1732,Maruti Alto LXi,Jaipur,2010,73513,Petrol,Manual,First,19.7,796,5,1.85,Maruti
1733,Maruti Wagon R,Jaipur,2015,34000,Petrol,Automatic,First,20.51,998,5,3.85,Maruti
1734,Maruti Eeco 7,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196,7,4.74,Maruti
1735,Renault Duster 110PS,Kochi,2013,74755,Diesel,Manual,First,19.6,1461,5,5.63,Renault
1736,Maruti Zen Estilo,Kochi,2011,25805,Petrol,Manual,First,18.2,1061,5,2.62,Maruti
1737,Renault Duster Petrol,Kochi,2015,82603,Petrol,Manual,First,13.06,1598,5,4.9,Renault
1738,Honda Civic 2006-2010,Chennai,2006,110000,Petrol,Manual,First,13.5,1799,5,2.65,Honda
1739,Mahindra XUV500 W8,Delhi,2012,88000,Diesel,Manual,First,16.0,2179,7,5.99,Mahindra
1740,Mahindra Verito 1.5,Chennai,2011,110000,Diesel,Manual,Second,21.0,1461,5,2.4,Mahindra
1741,Renault KWID Climber,Delhi,2017,15000,Petrol,Manual,First,21.7,999,5,4.25,Renault
1742,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967,5,40.0,Porsche
1743,Maruti Swift DDiS,Pune,2008,150000,Diesel,Manual,Second,28.4,1248,5,2.7,Maruti
1744,Datsun GO T,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198,5,2.99,Datsun
1745,Hyundai i20 1.2,Chennai,2011,37442,Petrol,Manual,First,18.5,1197,5,3.4,Hyundai
1746,BMW 5 Series,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995,5,30.8,BMW
1747,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248,7,5.85,Maruti
1748,Hyundai Grand i10,Jaipur,2014,42355,Petrol,Manual,First,18.9,1197,5,4.0,Hyundai
1749,BMW 3 Series,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996,5,14.12,BMW
1750,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998,5,4.55,Chevrolet
1751,Mercedes-Benz M-Class ML,Pune,2015,69000,Diesel,Automatic,First,0.0,2987,5,38.0,Mercedes-Benz
1752,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248,5,2.9,Maruti
1753,Mercedes-Benz New C-Class,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796,5,6.0,Mercedes-Benz
1754,Hyundai i20 1.2,Kochi,2016,28470,Petrol,Manual,First,18.6,1197,5,6.95,Hyundai
1755,Hyundai EON 1.0,Kolkata,2014,9759,Petrol,Manual,First,20.3,998,5,2.75,Hyundai
1756,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248,5,5.1,Maruti
1757,Hyundai i20 Sportz,Chennai,2017,8000,Petrol,Manual,First,18.6,1197,5,6.75,Hyundai
1758,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5,1197,5,3.69,Maruti
1759,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248,5,5.45,Maruti
1760,Honda WRV i-VTEC,Kochi,2018,15135,Petrol,Manual,First,17.5,1199,5,9.29,Honda
1761,Hyundai Xcent 1.2,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1197,5,4.0,Hyundai
1762,Honda Amaze E,Kolkata,2013,40000,Petrol,Manual,First,18.0,1198,5,2.9,Honda
1763,Hyundai Verna 1.6,Pune,2013,21107,Petrol,Manual,First,17.1,1591,5,5.25,Hyundai
1764,Honda City V,Mumbai,2014,56000,Petrol,Manual,First,16.8,1497,5,5.75,Honda
1765,Hyundai Creta 1.6,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1591,5,13.12,Hyundai
1766,Mahindra XUV500 W8,Kochi,2014,70963,Diesel,Manual,First,15.1,2179,7,7.83,Mahindra
1767,Maruti Wagon R,Mumbai,2013,25755,CNG,Manual,First,26.6,998,5,3.15,Maruti
1768,Toyota Innova 2.5,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494,7,10.4,Toyota
1769,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1248,5,4.35,Maruti
1770,Maruti Wagon R,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998,5,5.23,Maruti
1771,Hyundai Grand i10,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197,5,6.01,Hyundai
1772,Honda Amaze VX,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498,5,4.4,Honda
1773,BMW 3 Series,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995,5,12.75,BMW
1774,Ford Figo Petrol,Delhi,2011,65000,Petrol,Manual,First,15.6,1196,5,2.4,Ford
1775,Volkswagen Ameo 1.2,Kochi,2018,46007,Petrol,Manual,First,17.0,1198,5,5.71,Volkswagen
1776,Ford Ecosport 1.5,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498,5,5.49,Ford
1777,Honda City 1.3,Pune,2004,73500,Petrol,Manual,Second,13.0,1343,5,1.3,Honda
1778,Mahindra XUV500 W6,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179,7,8.5,Mahindra
1779,Toyota Fortuner 4x2,Delhi,2012,115000,Diesel,Manual,First,13.0,2982,7,12.99,Toyota
1780,Hyundai Grand i10,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197,5,5.0,Hyundai
1781,Maruti Dzire AMT,Pune,2017,41747,Diesel,Automatic,First,28.4,1248,5,9.0,Maruti
1782,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248,5,5.22,Maruti
1783,Volkswagen Polo Petrol,Pune,2012,19030,Petrol,Manual,First,16.47,1198,5,3.8,Volkswagen
1784,Toyota Etios Liva,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197,5,7.27,Toyota
1785,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197,5,5.1,Maruti
1786,Mercedes-Benz E-Class 2009-2013,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143,5,29.0,Mercedes-Benz
1787,Maruti Wagon R,Pune,2013,61000,Petrol,Manual,First,18.9,998,5,2.9,Maruti
1788,Tata Nano Lx,Kochi,2012,4187,Petrol,Manual,First,26.0,624,4,1.38,Tata
1789,Skoda Laura 1.8,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798,5,5.5,Skoda
1790,Volkswagen Polo GT,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197,5,7.25,Volkswagen
1791,Hyundai Verna 1.6,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582,5,6.98,Hyundai
1792,Tata Bolt Quadrajet,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248,5,5.25,Tata
1793,Hyundai EON D,Kolkata,2013,36000,Petrol,Manual,First,21.1,814,5,1.95,Hyundai
1794,Audi A4 2.0,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968,5,24.5,Audi
1795,Toyota Innova 2.5,Kochi,2013,62162,Diesel,Manual,First,12.99,2494,7,8.31,Toyota
1796,Mercedes-Benz M-Class ML,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2987,5,36.0,Mercedes-Benz
1797,Hyundai Xcent 1.1,Pune,2015,58000,Diesel,Manual,First,24.4,1120,5,5.5,Hyundai
1798,Honda Accord 2.4,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354,5,5.89,Honda
1799,Volkswagen Vento 1.5,Kochi,2016,50867,Diesel,Manual,First,20.34,1498,5,7.95,Volkswagen
1800,Hyundai i20 Sportz,Mumbai,2010,73000,Petrol,Manual,First,17.0,1197,5,2.75,Hyundai
1801,Hyundai Elantra CRDi,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582,5,6.25,Hyundai
1802,Ford Figo Diesel,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1399,5,4.95,Ford
1803,Hyundai i20 1.2,Kochi,2019,27339,Petrol,Manual,First,18.6,1197,5,6.27,Hyundai
1804,Hyundai Verna 1.6,Kolkata,2017,25000,Diesel,Manual,First,23.9,1582,5,8.65,Hyundai
1805,Hyundai Grand i10,Kolkata,2014,37000,Petrol,Manual,First,18.9,1197,5,3.5,Hyundai
1806,Audi Q5 2.0,Hyderabad,2015,56000,Diesel,Automatic,First,14.16,1968,5,35.0,Audi
1807,Maruti Swift Dzire,Kolkata,2015,27000,Petrol,Manual,First,17.5,1298,5,4.45,Maruti
1808,Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,18.5,1197,5,2.65,Hyundai
1809,Mahindra KUV 100,Kolkata,2017,10500,Diesel,Manual,First,25.32,1198,5,4.7,Mahindra
1810,Hyundai Elantra 1.6,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582,5,8.9,Hyundai
1811,Jeep Compass 2.0,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956,5,17.45,Jeep
1812,Maruti Vitara Brezza,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248,5,9.58,Maruti
1813,Toyota Corolla Altis,Kochi,2012,83184,Petrol,Manual,First,14.28,1798,5,6.22,Toyota
1814,Mahindra XUV500 W8,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179,7,7.8,Mahindra
1815,BMW X1 xDrive,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995,5,27.75,BMW
1816,Hyundai i20 Magna,Pune,2015,29000,Diesel,Manual,Second,22.54,1396,5,7.0,Hyundai
1817,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987,5,64.87,Mercedes-Benz
1818,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998,5,6.5,Chevrolet
1819,Hyundai i20 1.2,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197,5,2.7,Hyundai
1820,Honda Brio S,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198,5,2.5,Honda
1821,Nissan Evalia 2013,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461,7,3.9,Nissan
1822,Volkswagen Polo Petrol,Delhi,2015,58000,Petrol,Manual,First,16.47,1198,5,3.95,Volkswagen
1823,Hyundai i10 Sportz,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197,5,2.1,Hyundai
1824,Chevrolet Cruze LTZ,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991,4,3.5,Chevrolet
1825,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086,5,2.0,Hyundai
1826,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1248,7,5.35,Maruti
1827,Honda Amaze S,Delhi,2013,90000,Diesel,Manual,First,25.8,1498,5,3.8,Honda
1828,Mercedes-Benz A Class,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595,5,17.25,Mercedes-Benz
1829,Hyundai Grand i10,Kochi,2018,46493,Petrol,Manual,First,18.9,1197,5,5.53,Hyundai
1830,Hyundai i10 Sportz,Pune,2009,68000,Petrol,Manual,Third,20.36,1197,5,1.95,Hyundai
1831,Maruti Swift DDiS,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248,5,8.2,Maruti
1832,Honda City 1.3,Pune,1999,140000,Petrol,Manual,First,13.0,1343,5,0.9,Honda
1833,Toyota Innova 2.5,Pune,2013,255000,Diesel,Manual,Third,12.99,2494,7,6.5,Toyota
1834,Mini Cooper Countryman,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1998,5,19.41,Mini
1835,Fiat Linea T-Jet,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368,5,6.58,Fiat
1836,Chevrolet Aveo 1.4,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399,5,2.1,Chevrolet
1837,Hyundai i10 Era,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086,5,2.0,Hyundai
1838,Hyundai Xcent 1.1,Delhi,2015,54000,Diesel,Manual,First,24.4,1120,5,3.7,Hyundai
1839,Maruti Celerio VXI,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998,5,3.8,Maruti
1840,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197,5,3.25,Hyundai
1841,Renault Duster 85PS,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461,5,5.53,Renault
1842,BMW 3 Series,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995,5,10.9,BMW
1843,Hyundai Grand i10,Kolkata,2018,1800,Petrol,Manual,First,18.9,1197,5,5.1,Hyundai
1844,Hyundai Santro DX,Hyderabad,2007,96000,Petrol,Manual,Second,0.0,999,5,2.2,Hyundai
1845,Chevrolet Spark 1.0,Pune,2009,44200,Petrol,Manual,Second,18.0,995,5,1.6,Chevrolet
1846,Honda City i,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497,5,11.25,Honda
1847,Volkswagen Vento Diesel,Chennai,2013,720000,Diesel,Manual,First,20.54,1598,5,5.9,Volkswagen
1848,Toyota Fortuner 4x2,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982,7,14.4,Toyota
1849,Honda City 1.5,Delhi,2011,68000,Petrol,Manual,First,17.0,1497,5,3.6,Honda
1850,BMW 5 Series,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995,5,40.5,BMW
1851,Audi Q5 30,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968,5,38.95,Audi
1852,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1248,5,3.6,Maruti
1853,Volkswagen Vento 1.5,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498,5,7.12,Volkswagen
1854,Honda City i,Kochi,2016,55700,Diesel,Manual,First,26.0,1498,5,7.52,Honda
1855,Audi A4 New,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968,5,10.35,Audi
1856,Skoda Rapid 1.6,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598,5,7.0,Skoda
1857,Toyota Fortuner 3.0,Delhi,2011,60000,Diesel,Manual,First,11.5,2982,7,10.85,Toyota
1858,Chevrolet Optra Magnum,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991,5,2.35,Chevrolet
1859,Maruti Eeco 7,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196,7,2.9,Maruti
1860,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1373,5,7.65,Maruti
1861,Maruti Ciaz VDi,Delhi,2016,66000,Diesel,Manual,First,28.09,1248,5,6.4,Maruti
1862,Toyota Innova 2.5,Pune,2014,102418,Diesel,Manual,First,12.99,2494,7,10.1,Toyota
1863,Maruti Swift Dzire,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197,5,4.25,Maruti
1864,Toyota Innova Crysta,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755,7,19.65,Toyota
1865,Tata Indica V2,Pune,2017,8200,Diesel,Manual,First,25.0,1396,5,4.4,Tata
1866,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197,5,3.25,Hyundai
1867,Ford Fiesta 1.4,Pune,2012,78000,Diesel,Manual,First,17.8,1399,5,2.8,Ford
